"","CTRL_1","CTRL_2","CTRL_3","RBM47KD_1","RBM47KD_2","RBM47KD_3"
"A1BG",25.1442936307631,18.9764185269061,6.55029094350085,12.8609752754146,33.175746667346,24.8260534396475
"A2ML1",1.618739445494,3.10702967562924,5.47708840964898,2.17860135293287,7.19111543719941,4.17086730786594
"A3GALT2",0,0.998176811377974,4.59839350512567,1.05861809669479,1.00606477812209,2.07524162666031
"A4GALT",391.866735493113,418.533056197304,400.622488063491,392.47572788398,425.40002342742,361.043639148703
"AAAS",763.64342777192,660.132651725289,713.386498926619,644.63745556284,621.75334232598,628.527665006614
"AACS",2022.00652582706,1956.1652910462,1957.54035702849,2100.61211486845,1871.59891847119,1724.59236287998
"AACSP1",397.885659276075,395.137979678072,476.127600949297,467.010034562998,565.718631100157,453.143831616499
"AADACP1",11.8947024622192,8.31276755725432,7.8001697809225,14.0029558089231,5.4153053562157,13.2956724571129
"AADAT",323.186480080424,307.81954248087,270.308038504619,323.467291043387,366.72110397014,320.398303239087
"AAGAB",2383.65424216411,2503.47046024196,2377.90222729908,2080.54129935057,2173.24871448329,2417.7870345819
"AAK1",3698.64804977524,3496.90150338656,3424.29329428958,3789.1239209395,3818.32274805349,3787.89756047996
"AAMDC",228.533308212815,253.433263668771,235.241618296151,251.708231909949,247.70799726841,231.256903624876
"AAMP",4611.17560564301,5093.50370480768,4893.02302606657,5012.46649984159,5095.31590993179,4402.35514765147
"AAR2",1014.53312816935,1014.84349458854,1048.66163398599,974.703722460563,964.083936040527,949.849178281175
"AARD",26.4076356056578,23.973484177256,30.0475136255965,37.29078573004,35.5725843276441,41.4580579209324
"AARS1",20563.9248781305,19318.2655262116,20524.7713070065,15393.8653276943,14179.7985895376,14496.0328302825
"AARS2",602.801059023866,577.391361112922,535.051196542525,654.680397150881,612.261199419233,547.189871900947
"AARSD1",988.015981149074,1057.96592247163,1111.28774309561,1093.51203876735,1033.53830466178,1063.83696897106
"AARSD1P1",26.6099000372109,22.1151302278429,21.8591757823698,13.7403097646837,13.3938914209447,15.604546221275
"AASDH",937.940643621303,975.821537557905,943.464392832741,1019.10455086334,1055.04093876462,1151.04197475997
"AASDHPPT",2718.06374646088,2963.95543023614,2871.90841668714,2669.92602862228,2585.4655670287,2934.75074521968
"AASS",374.573268199169,318.712776077591,370.490245874868,540.13807941274,471.005782759404,504.048111705476
"AATF",2402.62573311958,2463.01077543474,2354.44614019247,2324.86397448645,2252.5710755611,2309.1376517417
"AATK",123.247185265396,125.811508621116,117.070307935917,162.023104811908,122.488676863585,135.690317913506
"ABAT",142.983304164253,97.9979265552116,99.7049498842484,111.557705240857,104.628948377591,103.904322256873
"ABCA1",3189.99922079399,2875.57005042118,2641.24146624579,2054.12145852428,2025.68029659554,2141.73068003616
"ABCA10",95.8899663863918,87.7585250340999,53.0755903206805,69.3855097535328,64.7001714070061,92.3310941741667
"ABCA11P",501.238427570048,486.848901466697,466.187401959078,549.99638327734,503.001824724635,554.096251209658
"ABCA12",776.884499792873,880.802936568317,667.19286669734,566.089218483548,600.882023849376,675.198199861769
"ABCA13",251.280783366081,323.639883123728,274.374521935205,189.856545719773,180.436965011095,225.161237162531
"ABCA17P",23.1240438216033,23.2099175396277,24.7685868003625,18.4339106077544,20.2728563906917,19.2276412906527
"ABCA2",7238.27227900824,6644.49914144,7407.08279720972,8260.44754948807,8354.74015340395,7241.23917372566
"ABCA3",229.662593822918,184.243340829043,166.582624810368,210.144461367381,139.403185904634,69.766642215253
"ABCA4",27.7148306937694,26.1876921298072,46.1962277692604,69.2976414935934,88.5287221497719,66.6790236395827
"ABCA5",443.54010393565,566.967103229538,538.261357976978,453.716896777987,468.604161797696,406.943221249313
"ABCA6",6.84245905529791,3.13907458866404,4.11745408565026,5.19095089134155,13.8349835272867,36.3700422603533
"ABCA7",1382.35452036289,1062.06284840349,1327.67728204766,997.031720462013,952.019023872146,863.760484045526
"ABCA8",14.4436657318473,8.82738379299609,16.4983221820969,21.7905211946895,15.8249613289925,12.0600547806858
"ABCA9",70.198332502698,111.031005893457,62.1236713816425,64.4206919216856,111.436365947815,102.788347545445
"ABCB10",462.062610770566,529.68190067356,495.992872130687,369.833645417516,369.457493984399,393.617066544605
"ABCB11",0,6.0169831830214,0,6.31136409452423,0,0
"ABCB5",36.1077345006677,29.1470678451907,21.4247490439241,29.6177817687612,28.7177294895105,38.1452157546083
"ABCB6",308.967696301101,240.68925031822,300.426125564839,302.462619345087,266.912328248146,267.111197014362
"ABCB7",793.638142757082,765.461182277561,720.90243680563,789.216995774661,870.789759661091,841.085333818379
"ABCB8",261.543765824405,183.23883948845,214.393184849457,177.683231207149,168.684001534457,177.129953310247
"ABCB9",268.705929838656,235.137211397972,288.39875512378,332.340662086327,359.632641090717,278.162285457847
"ABCC1",3275.89860779444,3248.72810738078,3190.12897596599,3685.24072459724,3624.60321313761,3448.92087297449
"ABCC10",990.689977637792,934.16855469811,984.972560591873,1013.92545585705,907.538596687681,954.626327713153
"ABCC11",8.69853305544207,10.2976545429595,19.5492701905878,15.8088435498058,28.9293845215986,8.74371181665097
"ABCC12",3.71719273223938,0.71407118812274,3.95274752433292,1.22498556831312,2.63011445669556,8.51983535579202
"ABCC3",2624.32240316736,2448.35193730586,2607.6651146276,2875.49234984099,2548.88073616345,2934.36979199683
"ABCC4",135.765923202045,90.3333013628762,140.392856725421,117.761211589716,183.396169509318,116.315873813064
"ABCC5",809.953854695652,807.299952545379,783.354140943441,785.508117385311,884.941978893576,705.710795848188
"ABCC6",20.9419350314604,15.5910102340314,15.5802835046544,24.8269829768291,18.5072787281045,16.7516084746002
"ABCC9",1844.35882689224,1744.69315464497,1686.25717834056,1617.6353745704,1869.0988824555,1937.7082155333
"ABCD1",268.302349338347,232.189087116806,265.911985440114,307.870896338309,255.456282703236,274.167092161698
"ABCD2",3.97206856165142,0,0,1.045381287957,3.09397751232203,1.95823155914432
"ABCD3",1348.38472912151,1423.30680200447,1358.02011289211,1416.72671929093,1532.75615016047,1473.09599679867
"ABCD4",1349.69949450145,1301.64032568574,1320.27995286138,1206.448738376,1256.24288203202,1191.29343377118
"ABCE1",6327.72840363185,6914.52576144004,6501.96281660196,7139.80608658283,6947.60672987044,7350.75863950454
"ABCF1",3238.42393877134,3193.16616454294,3312.15801219515,3139.53401574065,3175.24537834871,3241.24045213174
"ABCF2",1643.81579156681,1373.85379840063,1607.59365412265,1492.31927935058,1405.58658414433,1503.31363830772
"ABCF2-H2BE1",348.713990859132,403.850995345899,341.774298287064,485.803875198233,315.182247801996,453.421339075967
"ABCF3",997.865569267555,983.069580609469,976.349116501529,1051.40889587586,862.368972684538,962.488096634183
"ABCG1",29.3785997432676,20.7947522569946,19.5431025247191,23.1459261001929,29.5951898911806,28.8739241627735
"ABCG2",50.7815221132445,76.1719603296191,132.663994652543,71.9590677558014,54.1301520844076,70.6759240026597
"ABHD1",28.2649311617917,29.7475524280981,36.1469944888028,22.3723394035347,28.0595846074423,21.1620436007324
"ABHD10",886.410522844052,1007.26961423608,1004.98031066153,739.805431389679,730.901253681654,804.768395709396
"ABHD11",517.629617512319,515.787757375028,587.798484393315,463.003872141618,509.26649903104,450.217843110872
"ABHD12",3831.44473320749,4130.76885305893,4245.73531972667,4102.43353099421,3869.60985783006,3797.9984044528
"ABHD12B",62.3615435401838,57.3180673235583,50.3056029011524,61.0096475051933,68.424387139025,62.6438708578855
"ABHD13",585.701690515896,644.844244091313,534.381292066487,499.741959448414,563.062438563234,553.299330671525
"ABHD14A",129.589646462333,171.37391041837,162.975933643801,179.103551868809,170.408085657711,185.8255423643
"ABHD14A-ACY1",26.8842129572288,17.360510532097,12.166410752354,6.2313850267574,3.54622788189262,2.48526227614969
"ABHD14B",1288.12436366704,1258.69355336964,1363.25796829259,1227.01603485597,1235.26192900638,1149.22348872269
"ABHD15",287.909881797458,275.034416389946,271.679920135423,229.323130559947,269.53493190451,266.997402444266
"ABHD16A",858.816743079195,820.948490898236,838.874657670404,860.641880149387,914.003493316456,843.691132160125
"ABHD17A",573.838889925768,537.206778185149,609.503459686679,528.934799760525,470.224888053412,438.56879753943
"ABHD17B",439.70743349015,408.233529989001,411.201609562608,390.683010211794,397.398377887437,441.037861400357
"ABHD17C",1551.39756559146,1606.92017695539,1632.70438284648,1303.35615487195,1349.94778184143,1459.26963688186
"ABHD18",891.809383551401,858.547521296943,859.375147124655,786.483870194253,954.297673047956,844.649800713165
"ABHD2",11863.6421180678,11284.3814682854,11006.6487377824,7383.52005944331,7672.59903005357,7593.38952647294
"ABHD3",361.066689605974,317.829628736453,372.537649551016,261.206488911346,260.227903428616,295.947178698875
"ABHD4",1431.78029371588,1303.07329726653,1307.89169030146,1413.40607448244,1497.82362378056,1377.21510210507
"ABHD5",699.98411531434,723.084224112236,655.569023545028,658.865382741155,639.034019104413,745.543338558041
"ABHD6",159.334442143817,134.775419015724,164.066297529818,128.867950694643,145.925293446309,166.233458466917
"ABHD8",85.0084014582068,117.096803142659,100.255936085116,100.5847974479,102.625498166351,92.4158464417565
"ABI1",1313.09978274096,1300.63859883506,1312.72567165553,1145.33950855897,1127.6741173454,1231.35899101811
"ABI2",4121.40099746225,3942.10672668729,4132.55629377892,4572.0493586004,5589.4083923885,5009.15343246408
"ABI3BP",8.97853049984272,23.0368931156627,15.2547292408046,26.2097614512814,19.0816253972577,17.21249715954
"ABITRAM",1111.9611647494,1218.83078784194,1187.42188304824,1099.17200938909,1115.34254407621,1235.94655280654
"ABL1",3721.10316308971,3571.98900301064,4058.61252534367,3589.07857165331,3598.22336169042,3693.24623874462
"ABL2",5777.96828312974,5610.32344717442,5202.32403631343,5715.05847534379,6147.8238564307,5857.98809931763
"ABLIM1",6812.68163262763,7402.34493112194,6897.35417744548,7373.23915450654,7336.13773962671,8005.08518370552
"ABLIM2",17.8559088104798,22.523534774765,18.9900729866413,34.9272331477344,27.2201353660792,18.9579941659803
"ABLIM3",1776.44135302445,1365.61007587889,1455.56439898089,1358.92314822602,1254.1453503856,1323.3713614909
"ABO",288.201157211767,204.938752480463,239.546987242039,292.67467319719,251.038711816527,251.431070416971
"ABR",1409.76386684683,1322.17796419791,1479.61503624362,1356.73060165156,1290.93624037725,1278.63156690888
"ABRACL",570.269117305122,620.290007991873,611.18595789686,461.991378754783,530.930676316192,517.017610396421
"ABRAXAS1",908.225864380848,960.565035538527,872.040779954275,1057.08009402256,1206.06660843332,1056.94769245575
"ABRAXAS2",683.160403731654,722.304145348279,668.402532349215,638.381397425326,628.826609252686,657.609747935642
